context_code,response_code,context_type,context,response,sarcasm_ev1,sarcasm_ev2,sarcasm_ev3,mustard_id
10F,R15,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I really don't know.""",0,1,1,583
10F,R15,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I really don't know.,0,5,5,583
10F,R15,none,,John: I really don't know.,0,4,0,583
10F,R16,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I was getting sick out the window.""",3,0,1,583
10F,R16,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I was getting sick out the window.,3,1,3,583
10F,R16,none,,John: I was getting sick out the window.,1,1,0,583
10F,R17,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I didn't want to disturb you so I kept to myself.""",1,0,4,583
10F,R17,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I didn't want to disturb you so I kept to myself.,2,0,2,583
10F,R17,none,,John: I didn't want to disturb you so I kept to myself.,0,0,0,583
10F,R18,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I've no idea, must just have missed each other.""",2,1,1,583
10F,R18,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?","John: I've no idea, must just have missed each other.",0,2,0,583
10F,R18,none,,"John: I've no idea, must just have missed each other.",0,0,2,583
10F,R2,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""Well it wasn't all night.""",2,1,0,583
10F,R2,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: Well it wasn't all night.,3,4,1,583
10F,R2,none,,John: Well it wasn't all night.,0,1,1,583
10F,R3,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I stayed in my room. Didn't want to disturb anyone.""",1,3,4,583
10F,R3,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I stayed in my room. Didn't want to disturb anyone.,2,0,2,583
10F,R3,none,,John: I stayed in my room. Didn't want to disturb anyone.,0,1,1,583
10F,R4,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I was just awake in bed.""",0,3,1,583
10F,R4,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I was just awake in bed.,0,0,1,583
10F,R4,none,,John: I was just awake in bed.,1,2,0,583
10F,R5,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""We just did!""",2,2,3,583
10F,R5,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: We just did!,2,2,0,583
10F,R5,none,,John: We just did!,1,2,1,583
10F,R6,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""Trust me, you do NOT want to go into my room right now.""",2,3,3,583
10F,R6,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?","John: Trust me, you do NOT want to go into my room right now.",1,3,1,583
10F,R6,none,,"John: Trust me, you do NOT want to go into my room right now.",0,0,0,583
10F,R7,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I just tried to go back to sleep.""",2,0,0,583
10F,R7,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I just tried to go back to sleep.,5,0,0,583
10F,R7,none,,John: I just tried to go back to sleep.,1,0,0,583
10F,R8,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""Dunno, maybe we just missed each other.""",1,2,0,583
10F,R8,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?","John: Dunno, maybe we just missed each other.",1,0,3,583
10F,R8,none,,"John: Dunno, maybe we just missed each other.",0,3,0,583
10F,R9,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I don’t know, must be a coincidence.""",2,3,4,583
10F,R9,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?","John: I don’t know, must be a coincidence.",5,3,1,583
10F,R9,none,,"John: I don’t know, must be a coincidence.",3,1,0,583
10T,R1,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Yes that is definitely a coincidence.""",4,2,5,353
10T,R1,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Yes that is definitely a coincidence.,3,3,2,353
10T,R1,none,,Crofton: Yes that is definitely a coincidence.,5,0,0,353
10T,R10,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""No not really.""",0,5,0,353
10T,R10,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: No not really.,4,3,1,353
10T,R10,none,,Crofton: No not really.,0,0,0,353
10T,R11,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Yeah, what a coincidence!""",2,3,5,353
10T,R11,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,"Crofton: Yeah, what a coincidence!",5,3,4,353
10T,R11,none,,"Crofton: Yeah, what a coincidence!",1,4,5,353
10T,R12,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Very funny! I never realised that.""",3,3,4,353
10T,R12,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Very funny! I never realised that.,3,0,4,353
10T,R12,none,,Crofton: Very funny! I never realised that.,2,3,3,353
10T,R13,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Well done…""",2,4,3,353
10T,R13,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Well done…,2,5,4,353
10T,R13,none,,Crofton: Well done…,3,0,0,353
10T,R14,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""I don't think it is. I think it means that the Joker plays life like poker.""",2,2,5,353
10T,R14,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: I don't think it is. I think it means that the Joker plays life like poker.,1,5,5,353
10T,R14,none,,Crofton: I don't think it is. I think it means that the Joker plays life like poker.,0,1,2,353
10T,R15,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Well there's lots of words that can be changed completely with one letter.""",1,0,2,353
10T,R15,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Well there's lots of words that can be changed completely with one letter!,0,2,4,353
10T,R15,none,,Crofton: Well there's lots of words that can be changed completely with one letter!,2,2,1,353
10T,R16,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""That was a really bad joke Paige.""",4,1,1,353
10T,R16,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: That was a really bad joke Paige.,2,1,4,353
10T,R16,none,,Crofton: That was a really bad joke Paige.,2,3,0,353
10T,R17,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""That doesn't make any sense!""",3,0,4,353
10T,R17,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: That doesn't make any sense!,2,2,2,353
10T,R17,none,,Crofton: That doesn't make any sense!,1,0,0,353
10T,R18,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""What are you on about!""",1,1,4,353
10T,R18,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: What are you on about!,0,2,2,353
10T,R18,none,,Crofton: What are you on about!,0,1,0,353
10T,R2,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Amazing.""",5,4,0,353
10T,R2,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Amazing.,3,3,3,353
10T,R2,none,,Crofton: Amazing.,0,3,1,353
10T,R3,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Um, I'm not really sure about that.""",3,3,3,353
10T,R3,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,"Crofton: Um, I'm not really sure about that.",2,3,4,353
10T,R3,none,,"Crofton: Um, I'm not really sure about that.",2,1,0,353
10T,R4,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""...what are you going on about.""",0,4,1,353
10T,R4,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: ...what are you going on about?,1,4,2,353
10T,R4,none,,Crofton: ...what are you going on about?,2,3,3,353
10T,R5,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""That was smooth.""",2,0,3,353
10T,R5,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: That was smooth.,4,0,2,353
10T,R5,none,,Crofton: That was smooth.,0,0,3,353
10T,R6,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Why so serious.""",3,2,2,353
10T,R6,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Why so serious?,3,3,4,353
10T,R6,none,,Crofton: Why so serious?,1,0,3,353
10T,R7,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Haha.""",4,0,1,353
10T,R7,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Haha.,1,3,2,353
10T,R7,none,,Crofton: Haha.,3,0,2,353
10T,R8,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Alright slim shady calm down.""",3,4,1,353
10T,R8,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,Crofton: Alright slim shady calm down.,2,3,4,353
10T,R8,none,,Crofton: Alright slim shady calm down.,5,5,0,353
10T,R9,none,"Crofton invited his friends to come over to play poker together. Paige has never played poker before so Crofton teaches her all the rules. Later on, in the middle of the game Paige suddenly says, ""You know what I just realized? Joker is poker with a J! Coincidence?""","Crofton says, ""Haha, maybe.""",2,4,4,353
10T,R9,none,Paige: You know what I just realized? Joker is poker with a J. Coincidence?,"Crofton: Haha, maybe.",4,3,1,353
10T,R9,none,,"Crofton: Haha, maybe.",1,0,3,353
11T,R1,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""But maybe a little slower.""",4,0,0,367
11T,R1,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: But maybe a little slower.,3,1,0,367
11T,R1,none,,Crofton: But maybe a little slower.,1,2,2,367
11T,R10,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""Maybe don't smoke too much next time.""",3,1,1,367
11T,R10,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: Maybe don't smoke too much next time.,3,4,0,367
11T,R10,none,,Crofton: Maybe don't smoke too much next time.,3,2,2,367
11T,R11,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""Go on.""",1,1,4,367
11T,R11,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: Go on.,3,0,0,367
11T,R11,none,,Crofton: Go on.,3,1,1,367
11T,R12,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""Go ahead then, what is stopping you.""",0,4,4,367
11T,R12,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!","Crofton: Go ahead then, what is stopping you?",3,4,1,367
11T,R12,none,,"Crofton: Go ahead then, what is stopping you?",2,3,0,367
11T,R13,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""It’s not like there is anything else to do here anyways.""",2,3,4,367
11T,R13,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: It’s not like there is anything else to do here anyways.,2,4,4,367
11T,R13,none,,Crofton: It’s not like there is anything else to do here anyways.,1,4,2,367
11T,R14,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""Are you alright?""",1,3,0,367
11T,R14,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: Are you alright?,4,1,2,367
11T,R14,none,,Crofton: Are you alright?,0,0,0,367
11T,R15,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""I think we may have to go over that one again. Would you like some water before we try again?""",3,4,3,367
11T,R15,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: I think we may have to go over that one again. Would you like some water before we try again?,4,0,3,367
11T,R15,none,,Crofton: I think we may have to go over that one again. Would you like some water before we try again?,0,0,1,367
11T,R16,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""John you have to reply that’s how conversations work.""",4,2,3,367
11T,R16,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: John you have to reply that’s how conversations work.,2,4,4,367
11T,R16,none,,Crofton: John you have to reply that’s how conversations work.,5,4,2,367
11T,R17,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""It can't get any worse.""",2,1,3,367
11T,R17,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: It can't get any worse.,5,3,4,367
11T,R17,none,,Crofton: It can't get any worse.,4,4,1,367
11T,R18,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""Feel free.""",3,4,2,367
11T,R18,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: Feel free.,4,0,4,367
11T,R18,none,,Crofton: Feel free.,1,1,1,367
11T,R2,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""Easy tiger.""",3,4,3,367
11T,R2,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!",Crofton: Easy tiger.,1,4,0,367
11T,R2,none,,Crofton: Easy tiger.,3,0,4,367
11T,R3,none,"John has a theater audition tomorrow and Crofton is trying to help him by running some lines with him. Johns line goes, ""I just want to go back to my cell, 'cause in my cell I can smoke."" Crofton says his line, ""Smoke away!"" And John lights up a cigarette. But he inhales too much puff and starts coughing excessively.","Crofton says, ""I think you're going to have to practice smoking more, you can't be doing that in the audition.""",3,2,3,367
11T,R3,none,"John: I just want to go back to my cell, cause in my cell I can smoke. Crofton: Smoke away!","Crofton: I think you're going to have to practice smoking more, you can't be doing that in the audition.",1,3,5,367
11T,R3,none,,"Crofton: I think you're going to have to practice smoking more, you can't be doing that in the audition.",0,3,3,367
